"time","der(inductor1.i)","ground1.p.i","ground1.p.v","inductor1.i","inductor1.p.v","inductor1.v","resistor1.LossPower","resistor1.R_actual","resistor1.v","resistor2.LossPower","resistor2.R_actual","resistor2.v","sineCurrent1.v","inductor1.n.i","inductor1.n.v","inductor1.p.i","resistor1.i","resistor1.n.i","resistor1.n.v","resistor1.p.i","resistor1.p.v","resistor2.i","resistor2.n.i","resistor2.n.v","resistor2.p.i","resistor2.p.v","sineCurrent1.i","sineCurrent1.n.i","sineCurrent1.n.v","sineCurrent1.p.i","sineCurrent1.p.v","sineCurrent1.signalSource.y"
0.3,-1.941611038725466,0,0,0.9510565162951536,-0.9905545224303123,-1.941611038725466,0.9045084971874738,1,0.9510565162951536,0.9045084971874738,1,-0.9510565162951536,0.03949800613515864,-0.9510565162951536,0.9510565162951536,0.9510565162951536,0.9510565162951536,-0.9510565162951536,0,0.9510565162951536,0.9510565162951536,-0.9510565162951536,0.9510565162951536,0,-0.9510565162951536,-0.9510565162951536,0.9510565162951536,-0.9510565162951536,-0.9905545224303123,0.9510565162951536,-0.9510565162951536,0.9510565162951536
0.31,-2.312994780640426,0,0,0.9297764858882514,-1.383218294752175,-2.312994780640426,0.8644843137107057,1,0.9297764858882514,0.8644843137107057,1,-0.9297764858882514,0.4534418088639236,-0.9297764858882514,0.9297764858882514,0.9297764858882514,0.9297764858882514,-0.9297764858882514,0,0.9297764858882514,0.9297764858882514,-0.9297764858882514,0.9297764858882514,0,-0.9297764858882514,-0.9297764858882514,0.9297764858882514,-0.9297764858882514,-1.383218294752175,0.9297764858882514,-0.9297764858882514,0.9297764858882514
0.32,-2.675250188862998,0,0,0.9048270524660195,-1.770423136396978,-2.675250188862998,0.8187119948743448,1,0.9048270524660195,0.8187119948743448,1,-0.9048270524660195,0.8655960839309588,-0.9048270524660195,0.9048270524660195,0.9048270524660195,0.9048270524660195,-0.9048270524660195,0,0.9048270524660195,0.9048270524660195,-0.9048270524660195,0.9048270524660195,0,-0.9048270524660195,-0.9048270524660195,0.9048270524660195,-0.9048270524660195,-1.770423136396978,0.9048270524660195,-0.9048270524660195,0.9048270524660195
0.33,-3.026947606795681,0,0,0.8763066800438635,-2.150640926751818,-3.026947606795681,0.7679133974894982,1,0.8763066800438635,0.7679133974894982,1,-0.8763066800438635,1.274334246707954,-0.8763066800438635,0.8763066800438635,0.8763066800438635,0.8763066800438635,-0.8763066800438635,0,0.8763066800438635,0.8763066800438635,-0.8763066800438635,0.8763066800438635,0,-0.8763066800438635,-0.8763066800438635,0.8763066800438635,-0.8763066800438635,-2.150640926751818,0.8763066800438635,-0.8763066800438635,0.8763066800438635
0.34,-3.366699045405162,0,0,0.844327925502015,-2.522371119903147,-3.366699045405162,0.7128896457825361,1,0.844327925502015,0.7128896457825361,1,-0.844327925502015,1.678043194401132,-0.844327925502015,0.844327925502015,0.844327925502015,0.844327925502015,-0.844327925502015,0,0.844327925502015,0.844327925502015,-0.844327925502015,0.844327925502015,0,-0.844327925502015,-0.844327925502015,0.844327925502015,-0.844327925502015,-2.522371119903147,0.844327925502015,-0.844327925502015,0.844327925502015
0.35,-3.693163660980913,0,0,0.8090169943749475,-2.884146666605965,-3.693163660980913,0.6545084971874737,1,0.8090169943749475,0.6545084971874737,1,-0.8090169943749475,2.075129672231018,-0.8090169943749475,0.8090169943749475,0.8090169943749475,0.8090169943749475,-0.8090169943749475,0,0.8090169943749475,0.8090169943749475,-0.8090169943749475,0.8090169943749475,0,-0.8090169943749475,-0.8090169943749475,0.8090169943749475,-0.8090169943749475,-2.884146666605965,0.8090169943749475,-0.8090169943749475,0.8090169943749475
0.36,-4.005053046832758,0,0,0.7705132427757893,-3.234539804056969,-4.005053046832758,0.5936906572928623,1,0.7705132427757893,0.5936906572928623,1,-0.7705132427757893,2.46402656128118,-0.7705132427757893,0.7705132427757893,0.7705132427757893,0.7705132427757893,-0.7705132427757893,0,0.7705132427757893,0.7705132427757893,-0.7705132427757893,0.7705132427757893,0,-0.7705132427757893,-0.7705132427757893,0.7705132427757893,-0.7705132427757893,-3.234539804056969,0.7705132427757893,-0.7705132427757893,0.7705132427757893
0.37,-4.301136318043445,0,0,0.7289686274214114,-3.572167690622033,-4.301136318043445,0.5313952597646565,1,0.7289686274214114,0.5313952597646565,1,-0.7289686274214114,2.843199063200622,-0.7289686274214114,0.7289686274214114,0.7289686274214114,0.7289686274214114,-0.7289686274214114,0,0.7289686274214114,0.7289686274214114,-0.7289686274214114,0.7289686274214114,0,-0.7289686274214114,-0.7289686274214114,0.7289686274214114,-0.7289686274214114,-3.572167690622033,0.7289686274214114,-0.7289686274214114,0.7289686274214114
0.38,-4.580244969209081,0,0,0.6845471059286888,-3.895697863280393,-4.580244969209081,0.4686047402353435,1,0.6845471059286888,0.4686047402353435,1,-0.6845471059286888,3.211150757351704,-0.6845471059286888,0.6845471059286888,0.6845471059286888,0.6845471059286888,-0.6845471059286888,0,0.6845471059286888,0.6845471059286888,-0.6845471059286888,0.6845471059286888,0,-0.6845471059286888,-0.6845471059286888,0.6845471059286888,-0.6845471059286888,-3.895697863280393,0.6845471059286888,-0.6845471059286888,0.6845471059286888
0.39,-4.841277485996136,0,0,0.6374239897486899,-4.203853496247445,-4.841277485996136,0.4063093427071379,1,0.6374239897486899,0.4063093427071379,1,-0.6374239897486899,3.566429506498756,-0.6374239897486899,0.6374239897486899,0.6374239897486899,0.6374239897486899,-0.6374239897486899,0,0.6374239897486899,0.6374239897486899,-0.6374239897486899,0.6374239897486899,0,-0.6374239897486899,-0.6374239897486899,0.6374239897486899,-0.6374239897486899,-4.203853496247445,0.6374239897486899,-0.6374239897486899,0.6374239897486899
0.4,-5.08320369231526,0,0,0.5877852522924733,-4.495418440022786,-5.08320369231526,0.3454915028125264,1,0.5877852522924733,0.3454915028125264,1,-0.5877852522924733,3.907633187730313,-0.5877852522924733,0.5877852522924733,0.5877852522924733,0.5877852522924733,-0.5877852522924733,0,0.5877852522924733,0.5877852522924733,-0.5877852522924733,0.5877852522924733,0,-0.5877852522924733,-0.5877852522924733,0.5877852522924733,-0.5877852522924733,-4.495418440022786,0.5877852522924733,-0.5877852522924733,0.5877852522924733
0.41,-5.30506881595568,0,0,0.535826794978997,-4.769242020976684,-5.30506881595568,0.2871103542174641,1,0.535826794978997,0.2871103542174641,1,-0.535826794978997,4.233415225997687,-0.535826794978997,0.535826794978997,0.535826794978997,0.535826794978997,-0.535826794978997,0,0.535826794978997,0.535826794978997,-0.535826794978997,0.535826794978997,0,-0.535826794978997,-0.535826794978997,0.535826794978997,-0.535826794978997,-4.769242020976684,0.535826794978997,-0.535826794978997,0.535826794978997
0.42,-5.505997256634925,0,0,0.4817536741017156,-5.02424358253321,-5.505997256634925,0.232086602510502,1,0.4817536741017156,0.232086602510502,1,-0.4817536741017156,4.542489908431494,-0.4817536741017156,0.4817536741017156,0.4817536741017156,0.4817536741017156,-0.4817536741017156,0,0.4817536741017156,0.4817536741017156,-0.4817536741017156,0.4817536741017156,0,-0.4817536741017156,-0.4817536741017156,0.4817536741017156,-0.4817536741017156,-5.02424358253321,0.4817536741017156,-0.4817536741017156,0.4817536741017156
0.43,-5.685196041593105,0,0,0.4257792915650729,-5.259416750028032,-5.685196041593105,0.1812880051256554,1,0.4257792915650729,0.1812880051256554,1,-0.4257792915650729,4.83363745846296,-0.4257792915650729,0.4257792915650729,0.4257792915650729,0.4257792915650729,-0.4257792915650729,0,0.4257792915650729,0.4257792915650729,-0.4257792915650729,0.4257792915650729,0,-0.4257792915650729,-0.4257792915650729,0.4257792915650729,-0.4257792915650729,-5.259416750028032,0.4257792915650729,-0.4257792915650729,0.4257792915650729
